编号,名称,百度词条,百度地址,百度置信度,维基词条,维基地址,维基置信度,待复核候选
1-0020-5-020,瑞金革命遗址,瑞金革命遗址,https://baike.baidu.com/view/190631.htm,exact,瑞金革命遗址,https://zh.wikipedia.org/wiki/%E7%91%9E%E9%87%91%E9%9D%A9%E5%91%BD%E9%81%97%E5%9D%80,exact,
1-0021-5-021,遵义会议会址,遵义会议会址,https://baike.baidu.com/subview/21589/21589.htm,exact,,,,
1-0022-5-022,泸定桥,泸定桥,https://baike.baidu.com/view/51872.htm,exact,,,,
1-0023-5-023,延安革命遗址,延安革命遗址,https://baike.baidu.com/view/418116.htm,exact,,,,
1-0024-5-024,卢沟桥,卢沟桥,https://baike.baidu.com/subview/14985/14985.htm,exact,卢沟桥,https://zh.wikipedia.org/wiki/%E5%8D%A2%E6%B2%9F%E6%A1%A5,exact,
1-0025-5-025,平型关战役遗址,平型关战役遗址,https://baike.baidu.com/view/190624.htm,exact,平型关战役遗址,https://zh.wikipedia.org/wiki/%E5%B9%B3%E5%9E%8B%E5%85%B3%E6%88%98%E5%BD%B9%E9%81%97%E5%9D%80,exact,
1-0026-5-026,八路军总司令部旧址,八路军总司令部旧址,https://baike.baidu.com/view/180362.htm,exact,八路军总司令部旧址,https://zh.wikipedia.org/wiki/%E5%85%AB%E8%B7%AF%E5%86%9B%E6%80%BB%E5%8F%B8%E4%BB%A4%E9%83%A8%E6%97%A7%E5%9D%80,exact,
1-0027-5-027,新四军军部旧址,新四军军部旧址,https://baike.baidu.com/subview/77747/20027954.htm,exact,,,,
1-0028-5-028,八路军重庆办事处旧址,八路军重庆办事处旧址,https://baike.baidu.com/view/190658.htm,exact,八路军重庆办事处旧址,https://zh.wikipedia.org/wiki/%E5%85%AB%E8%B7%AF%E5%86%9B%E9%87%8D%E5%BA%86%E5%8A%9E%E4%BA%8B%E5%A4%84%E6%97%A7%E5%9D%80,exact,
1-0029-5-029,冉庄地道战遗址,冉庄地道战遗址,https://baike.baidu.com/view/308250.htm,exact,冉庄地道战遗址,https://zh.wikipedia.org/wiki/%E5%86%89%E5%BA%84%E5%9C%B0%E9%81%93%E6%88%98%E9%81%97%E5%9D%80,exact,
1-0030-5-030,天安门,天安门,https://baike.baidu.com/subview/2394/9612438.htm,exact,天安门,https://zh.wikipedia.org/wiki/%E5%A4%A9%E5%AE%89%E9%97%A8,exact,
1-0031-5-031,鲁迅墓,鲁迅墓,https://baike.baidu.com/view/64467.htm,exact,,,,
1-0032-5-032,中苏友谊纪念塔,中苏友谊纪念塔,https://baike.baidu.com/view/190668.htm,exact,中苏友谊纪念塔,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8B%8F%E5%8F%8B%E8%B0%8A%E7%BA%AA%E5%BF%B5%E5%A1%94,exact,
1-0033-5-033,人民英雄纪念碑,人民英雄纪念碑,https://baike.baidu.com/subview/15847/15847.htm,exact,人民英雄纪念碑,https://zh.wikipedia.org/wiki/%E4%BA%BA%E6%B0%91%E8%8B%B1%E9%9B%84%E7%BA%AA%E5%BF%B5%E7%A2%91,exact,
1-0034-4-001,云冈石窟,云冈石窟,https://baike.baidu.com/subview/7398/20373991.htm,exact,,,,
1-0035-4-002,莫高窟,莫高窟,https://baike.baidu.com/subview/15125/15125.htm,exact,,,,
1-0036-4-003,榆林窟,榆林窟,https://baike.baidu.com/view/159875.htm,exact,,,,
1-0037-4-004,龙门石窟,龙门石窟,https://baike.baidu.com/subview/1759/19044727.htm,exact,,,,
1-0038-4-005,麦积山石窟,麦积山石窟,https://baike.baidu.com/item/%E9%BA%A6%E7%A7%AF%E5%B1%B1%E7%9F%B3%E7%AA%9F/18045338,exact,,,,
1-0039-4-006,炳灵寺石窟,炳灵寺石窟,https://baike.baidu.com/view/70929.htm,exact,,,,
